product_id,name,description,category,store_id,current_price,image_url
128,Red Onions,Red Onions per lb,Produce,2,0.99,https://www.frysfood.com/product/0000000004082
129,Peet's Coffee,Peet's Coffee Major Dickason's Blend Whole Bean 12oz,Dry,2,11.99,https://www.frysfood.com/product/0001470012682
130,Basmati Rice,Kroger Basmati Rice 2lb,Dry,2,3.99,https://www.frysfood.com/product/0001111089666
131,Organic Granny Smith Apples,Organic Granny Smith Apples 3lb Bag,Produce,2,4.49,https://www.frysfood.com/product/0000000094139
132,Cold Pressed Juice,Evolution Fresh Defense Up Cold-Pressed Juice 15.2oz,Beverages,2,3.99,https://www.frysfood.com/product/0001421300016
133,Granola,Simple Truth Organic Ancient Grains Granola 12oz,Breakfast,2,4.29,https://www.frysfood.com/product/0001111087044
134,Quinoa Pasta,Simple Truth Organic Quinoa Pasta 8oz,Dry,2,2.99,https://www.frysfood.com/product/0001111087160
135,Organic Marinara,Simple Truth Organic Marinara Sauce 25oz,Canned,2,3.49,https://www.frysfood.com/product/0001111089609
136,Bamboo Toilet Paper,Who Gives A Crap Bamboo Toilet Paper 24ct,Household,2,27.99,https://www.frysfood.com/product/0000055118439
137,Plant-Based Detergent,Seventh Generation Laundry Detergent 50oz,Household,2,12.99,https://www.frysfood.com/product/0073291000717
138,Greek Yogurt,Fage Total 2% Greek Yogurt 35.3oz,Dairy,2,6.99,https://www.frysfood.com/product/0689544900119
139,Dairy-Free Ice Cream,So Delicious Cashewmilk Salted Caramel 16oz,Frozen,2,5.99,https://www.frysfood.com/product/0074492150018
140,Cauliflower Pizza,Caulipower Margherita Cauliflower Crust Pizza,Frozen,2,7.99,https://www.frysfood.com/product/0085001618002
141,Ultra-Filtered Milk,Fairlife Whole Milk 52oz,Dairy,3,3.89,https://m.media-amazon.com/images/I/71JI6GLJDAL._SL1500_.jpg
142,Free-Range Eggs,Happy Egg Co. Free Range Large Brown Eggs 12ct,Dairy,3,5.29,https://m.media-amazon.com/images/I/81QJUg1eg1L._SL1500_.jpg
143,Sourdough Bread,La Brea Bakery Sourdough Round Loaf,Bakery,3,4.99,https://m.media-amazon.com/images/I/71Z9PtnP8GL._SL1500_.jpg
144,Organic Bananas,Whole Foods Market Organic Bananas per bunch,Produce,3,2.99,https://m.media-amazon.com/images/I/61-ThgfyHoL._SL1024_.jpg
145,Air-Chilled Chicken,Mary's Free Range Air-Chilled Chicken Breast 1lb,Meat,3,9.49,https://m.media-amazon.com/images/I/71vQfUAeUkL._SL1500_.jpg
146,Organic Ground Beef,Organic 100% Grass-Fed Ground Beef 85/15 1lb,Meat,3,8.99,https://m.media-amazon.com/images/I/71WT9vEODlL._SL1500_.jpg
147,Japanese Sweet Potatoes,Japanese Sweet Potatoes 2lb,Produce,3,3.99,https://m.media-amazon.com/images/I/71GaGr7OHJL._SL1500_.jpg
148,Vidalia Onions,Sweet Vidalia Onions 3lb Bag,Produce,3,4.99,https://m.media-amazon.com/images/I/71oXQk3Y4QL._SL1500_.jpg
149,Stumptown Coffee,Stumptown Hair Bender Whole Bean Coffee 12oz,Dry,3,14.99,https://m.media-amazon.com/images/I/61pu4ZQum8L._SL1200_.jpg
150,Wild Rice,Lundberg Wild Rice Blend 16oz,Dry,3,4.99,https://m.media-amazon.com/images/I/81qEsxt0iGL._SL1500_.jpg
151,Pink Lady Apples,Premium Pink Lady Apples 3lb Bag,Produce,3,5.99,https://m.media-amazon.com/images/I/71n0f4AkbzL._SL1500_.jpg
152,Cold Pressed Green Juice,Suja Organic Cold-Pressed Green Juice 12oz,Beverages,3,4.99,https://m.media-amazon.com/images/I/51WZJC6jG8L._SL1000_.jpg
153,Ancient Grain Granola,Bear Naked Original Cinnamon Granola 12oz,Breakfast,3,5.49,https://m.media-amazon.com/images/I/81DTI0tGIgL._SL1500_.jpg
154,Gluten-Free Pasta,Jovial Brown Rice Pasta Spaghetti 12oz,Dry,3,4.29,https://m.media-amazon.com/images/I/71LVJxcHKfL._SL1500_.jpg
155,Premium Pasta Sauce,Rao's Homemade Marinara Sauce 24oz,Canned,3,8.99,https://m.media-amazon.com/images/I/71nrwYMN0DL._SL1500_.jpg
156,Recycled Paper Towels,Seventh Generation 100% Recycled Paper Towels 6ct,Household,3,12.99,https://m.media-amazon.com/images/I/81D-5tcWBbL._AC_SL1500_.jpg
157,Eco-Friendly Detergent,Dropps Stain & Odor Laundry Detergent Pods 64ct,Household,3,19.99,https://m.media-amazon.com/images/I/81Pq9EAWbZL._AC_SL1500_.jpg
158,Skyr Yogurt,Siggi's 4% Vanilla Icelandic Skyr Yogurt 24oz,Dairy,3,5.99,https://m.media-amazon.com/images/I/61KoN8rMQKL._SL1200_.jpg
159,Non-Dairy Gelato,Talenti Dairy-Free Sorbetto Alphonso Mango 16oz,Frozen,3,6.49,https://m.media-amazon.com/images/I/715hKzI3IrL._SL1500_.jpg
160,Veggie Pizza,Amy's Margherita Pizza 13oz,Frozen,3,7.99,https://m.media-amazon.com/images/I/81eCnNcZH7L._SL1500_.jpg
